"transectID","latitude_start","longitude_start","latitude_end","longitude_end","location","county","state"
"A",41.4023302845406,-74.0455040549917,41.4175745303167,-74.0344758627479,"Black Rock Forest","Orange","NY"
"B",41.4069986802355,-74.0302247845066,41.3903394521219,-74.0483258764341,"Black Rock Forest","Orange","NY"
"C",41.3934512946698,-74.0409713496341,41.4043972171467,-74.0268925843022,"Black Rock Forest","Orange","NY"
"D",41.4197695391528,-74.0261905899444,41.400603711296,-74.0260845928104,"Black Rock Forest","Orange","NY"
"E",41.4189194540663,-74.0233266108782,41.4008123101701,-74.0234267884075,"Black Rock Forest","Orange","NY"
"F",41.4177092857452,-74.0185006886312,41.4021461558077,-74.0181169905322,"Black Rock Forest","Orange","NY"
"G",41.4180247362942,-74.0170662785781,41.4036767569517,-74.0158469622855,"Black Rock Forest","Orange","NY"
"H",41.4093335438908,-74.0055575154536,41.3999737270392,-74.0204991602458,"Black Rock Forest","Orange","NY"
"I",41.4070448563401,-74.0012975965797,41.3961147686857,-74.0163227421132,"Black Rock Forest","Orange","NY"
"J",41.4072187682927,-73.998167345803,41.3922293111843,-74.0162890546665,"Black Rock Forest","Orange","NY"
"K",41.4043532223385,-73.9919962808588,41.3942208297808,-74.0086966231571,"Black Rock Forest","Orange","NY"
"L",41.4022409871624,-73.9887364666449,41.3914744186875,-74.003942762162,"Black Rock Forest","Orange","NY"
"M",41.382169,-74.064741,41.381922,-74.051887,"Black Rock Forest","Orange","NY"
"N",41.386603,-74.053705,41.389892,-74.040777,"Black Rock Forest","Orange","NY"
"O",41.3826478757976,-74.0379172182056,41.3953525244893,-74.0342583104993,"Black Rock Forest","Orange","NY"
"P",41.3994409183892,-74.0249708774765,41.3917220765131,-74.0290637213649,"Black Rock Forest","Orange","NY"
"Q",41.3915224450313,-74.0169312093863,41.4004768874631,-74.025965962853,"Black Rock Forest","Orange","NY"
"R",41.3912331390265,-74.0173904324546,41.3880825950775,-74.0338524711886,"Black Rock Forest","Orange","NY"
"S",41.386960559521,-74.0200931291304,41.3823053494637,-74.0355291619794,"Black Rock Forest","Orange","NY"
"T",41.3819015180598,-74.014607345191,41.3871553293383,-74.0199972672339,"Black Rock Forest","Orange","NY"
"U",41.391864874356,-74.0403471412532,41.3786183466447,-74.055011276988,"Black Rock Forest","Orange","NY"
"V",41.3984168319844,-74.0455867476791,41.4163384647395,-74.033281029158,"Black Rock Forest","Orange","NY"
