year,date,kill_no,hunter_ID,sex,weight_lbs,age_months,beam_diam_mm,antler_points,girth_in,teat_length_mm,notes
2014,2014-11-15,NA,194,M,130,30,26,3,NA,NA,one antler shed; remaining antler had 3 points assuming full rack would be 6
2014,2014-11-15,NA,466,M,122,54,28,6,NA,NA,NA
2014,2014-11-15,NA,324,M,92,18,14,2,NA,NA,NA
2014,2014-11-15,NA,297,F,90,30,NA,NA,NA,14,NA
2014,2014-11-15,NA,333,M,108,30,25,4,NA,NA,one side of rack busted
2014,2014-11-15,NA,18,M,122,30,23,6,NA,NA,NA
2014,2014-11-15,NA,331,M,116,30,21,4,NA,NA,NA
2014,2014-11-15,NA,330,F,94,30,NA,NA,NA,14,NA
2014,2014-11-15,NA,330,M,84,18,NA,NA,NA,NA,sublegal; antlers less than 3 inches long
2014,2014-11-15,NA,332,M,102,17,NA,NA,NA,NA,sublegal; antlers less than 3 inches long
2014,2014-11-15,NA,518,M,102,30,23,4,NA,NA,NA
2014,2014-11-16,NA,2,M,94,17,14,2,NA,NA,NA
2014,2014-11-16,NA,215,F,34,6,NA,NA,NA,NA,NA
2014,2014-11-16,NA,319,F,98,42,NA,NA,NA,14,NA
2014,2014-11-16,NA,319,M,98,42,23,8,NA,NA,NA
2014,2014-11-22,NA,332,M,116,42,26,7,NA,NA,NA
2014,2014-11-23,NA,234,F,105,42,NA,NA,NA,15,NA
2014,2014-11-25,NA,316,F,96,30,NA,NA,NA,16,NA
2014,2014-11-25,NA,373,M,106,30,18,5,NA,NA,NA
2014,2014-11-28,NA,470,M,80,18,14,3,NA,NA,NA
2014,2014-11-29,NA,228,F,82,66,NA,NA,NA,12,NA
2014,2014-11-30,NA,340,F,52,6,NA,NA,NA,NA,NA
2014,2014-12-04,NA,332,F,86,42,NA,NA,NA,10,NA
2014,2014-12-07,NA,425,F,108,42,NA,NA,NA,16,NA
2014,2014-12-15,NA,319,F,92,54,NA,NA,NA,17,NA
2015,2015-11-21,NA,135,M,86,17,14,4,NA,NA,NA
2015,2015-11-21,NA,168,M,100,30,18,2,NA,NA,NA
2015,2015-11-21,NA,297,M,96,18,15,4,NA,NA,NA
2015,2015-11-21,NA,320,M,110,30,24,7,NA,NA,NA
2015,2015-11-21,NA,189,M,98,42,22,7,NA,NA,NA
2015,2015-11-21,NA,148,M,150,42,28,9,NA,NA,NA
2015,2015-11-21,NA,227,M,86,18,16,3,NA,NA,NA
2015,2015-11-22,NA,11,M,52,6,NA,NA,NA,NA,button buck
2015,2015-11-22,NA,425,M,76,19,13,2,NA,NA,NA
2015,2015-11-24,NA,319,M,92,42,NA,NA,NA,15,NA
2015,2015-11-24,NA,241,M,94,19,18,6,NA,NA,NA
2015,2015-11-25,NA,298,M,108,30,22,5,NA,NA,NA
2015,2015-11-29,NA,257,F,90,42,NA,NA,NA,NA,NA
2015,2015-12-06,NA,258,M,90,18,14,4,NA,NA,NA
2015,2015-12-08,NA,372,M,150,66,32,7,NA,NA,NA
2015,2015-12-12,NA,214,F,92,42,NA,NA,NA,NA,NA
2015,2015-12-13,NA,391,M,68,6,NA,NA,NA,NA,button buck
2015,2015-12-13,NA,258,F,90,54,NA,NA,NA,NA,NA
2015,2015-12-13,NA,319,F,75,19,NA,NA,NA,NA,hunter found next day and was partially eaten by scavengers
2016,2016-11-12,NA,236,M,124,30,23,8,NA,NA,crossbow
2016,2016-11-19,NA,403,M,88,18,16,2,NA,NA,NA
2016,2016-11-19,NA,494,F,82,19,NA,NA,NA,NA,NA
2016,2016-11-19,NA,377,M,116,30,18,2,NA,NA,NA
2016,2016-11-19,NA,315,M,90,17,16,2,NA,NA,NA
2016,2016-11-19,NA,216,M,112,19,20,6,NA,NA,NA
2016,2016-11-19,NA,168,M,118,30,25,8,NA,NA,NA
2016,2016-11-19,NA,332,F,88,30,NA,NA,NA,NA,NA
2016,2016-11-20,NA,319,M,98,19,20,4,NA,NA,NA
2016,2016-11-20,NA,214,F,102,30,NA,NA,NA,NA,NA
2016,2016-11-21,NA,319,M,54,6,NA,NA,NA,NA,button buck
2016,2016-11-21,NA,319,F,84,30,NA,NA,NA,NA,NA
2016,2016-11-21,NA,7,M,126,42,30,8,NA,NA,NA
2016,2016-11-21,NA,317,F,90,42,NA,NA,NA,19,NA
2016,2016-11-22,NA,317,M,150,54,34,10,NA,NA,NA
2016,2016-11-22,NA,6,M,102,30,22,6,NA,NA,hunter recontacted to measure age and rack; missing on original datasheet
2016,2016-11-23,NA,394,F,88,30,NA,NA,NA,NA,NA
2016,2016-11-24,NA,311,F,92,30,NA,NA,NA,NA,NA
2016,2016-11-25,NA,227,M,98,17,18,4,NA,NA,NA
2016,2016-11-26,NA,257,F,96,30,NA,NA,NA,NA,hunter recontacted to measure age;  missing on original datasheet
2016,2016-11-29,NA,319,M,94,17,14,2,NA,NA,NA
2016,2016-12-01,NA,469,M,88,19,16,2,NA,NA,NA
2016,2016-12-10,NA,297,F,56,6,NA,NA,NA,NA,NA
2017,2017-11-18,1,377,M,114,30,28,8,NA,NA,NA
2017,2017-11-18,2,115,M,158,54,29,8,NA,NA,NA
2017,2017-11-18,3,483,F,90,42,NA,NA,NA,NA,doe with milk
2017,2017-11-22,6,194,F,114,42,NA,NA,NA,NA,seen with another deer
2017,2017-11-23,7,91,M,138,42,31,8,NA,NA,deer was alone
2017,2017-11-18,4,323,M,135,78,30,7,NA,NA,NA
2017,2017-11-18,5,143,M,90,17,18,4,NA,NA,NA
2017,2017-11-24,8,254,M,82,19,NA,NA,NA,NA,sublegal; seen with 6 point buck
2017,2017-11-24,9,149,F,90,54,NA,NA,NA,NA,NA
2017,2017-11-24,10,297,F,96,30,NA,NA,NA,NA,NA
2017,2017-11-24,11,324,F,50,6,NA,NA,NA,NA,NA
2017,2017-11-24,13,297,F,92,42,NA,NA,NA,NA,NA
2017,2017-11-24,12,390,M,100,30,20,5,NA,NA,NA
2017,2017-11-24,14,267,M,60,NA,NA,NA,NA,NA,button buck; alone
2017,2017-12-10,16,311,F,115,18,NA,NA,NA,NA,NA
2017,2017-12-10,17,409,M,88,NA,16,4,NA,NA,NA
2018,2018-11-17,NA,412,M,136,42,31,8,NA,NA,NA
2018,2018-11-17,NA,190,M,114,19,24,4,NA,NA,NA
2018,2018-11-17,NA,319,M,114,30,24,8,NA,NA,NA
2018,2018-11-17,NA,208,F,52,6,NA,NA,NA,NA,"exact age not recorded, just listed as fawn; put in 6 months which is the average age of a fawn during hunting seaon"
2018,2018-11-18,NA,478,M,108,30,28,7,NA,NA,NA
2018,2018-11-19,NA,483,F,88,19,NA,NA,NA,NA,NA
2018,2018-11-20,NA,323,M,156,54,42,16,NA,NA,NA
2018,2018-11-21,NA,256,F,112,54,NA,NA,NA,14,NA
2018,2018-11-22,NA,466,F,84,17,NA,NA,NA,10,NA
2018,2018-11-23,NA,466,M,48,6,NA,NA,NA,NA,button buck
