year,date,kill_no,hunter_ID,sex,weight_lbs,age_months,beam_diam_mm,antler_points,girth_in,teat_length_mm,notes
1984,1984-11-19,1,13,M,85,16,16,2,31,NA,"heart,lungs, liver still present in weight"
1984,1984-11-19,2,406,M,110,30,22,5,35,NA,"heart,lungs, liver still present in weight"
1984,1984-11-19,3,240,M,120,42,29,7,37.5,NA,"heart,lungs, liver still present in weight"
1984,1984-11-19,4,93,M,75,18,14,2,31,NA,"heart,lungs, liver still present in weight"
1984,1984-11-19,5,154,M,120,30,25,7,35,NA,
1984,1984-11-19,6,453,M,95,20,22,2,33.5,NA,"heart,lungs, liver still present in weight"
1984,1984-11-19,7,158,F,105,19,NA,NA,32,NA,
1984,1984-11-19,8,123,F,50,6,NA,NA,27.5,NA,
1984,1984-11-19,9,457,F,80,17,NA,NA,33,NA,
1984,1984-11-19,10,113,M,80,20,18,2,30,NA,"heart,lungs, liver still present in weight"
1984,1984-11-19,11,175,F,115,78,NA,NA,35,NA,
1984,1984-11-19,12,480,F,85,16,NA,NA,34,NA,
1984,1984-11-19,13,284,M,100,19,17,4,35,NA,
1984,1984-11-19,14,285,F,105,30,NA,NA,36,NA,"heart,lungs, liver still present in weight"
1984,1984-11-19,15,512,M,80,20,14,2,32,NA,
1984,1984-11-19,16,327,M,110,30,19,7,32.5,NA,
1984,1984-11-19,17,400,M,80,19,16,2,34,NA,
1984,1984-11-20,18,128,M,NA,NA,NA,4,NA,NA,did not get other measurements
1984,1984-11-20,19,408,M,110,19,21,4,33.5,NA,
1984,1984-11-20,20,94,F,95,19,NA,NA,34,NA,
1984,1984-11-20,21,37,M,85,16,17,3,34,NA,
1984,1984-11-20,22,86,M,95,17,22,6,34.5,NA,
1984,1984-11-20,23,159,M,90,18,18,2,32.5,NA,
1984,1984-11-20,24,113,F,105,54,NA,NA,36,NA,
1984,1984-11-20,25,63,M,85,17,16,2,32,NA,
1984,1984-11-21,26,117,F,100,54,NA,NA,34,NA,
1984,1984-11-21,27,435,M,95,17,19,2,33,NA,
1984,1984-11-21,28,195,M,105,19,17,3,34,NA,
1984,1984-11-21,29,401,F,97,17,NA,NA,34,NA,
1984,1984-11-21,30,71,M,105,19,18,2,34,NA,
1984,1984-11-21,31,73,M,90,21,14,2,32,NA,
1984,1984-11-21,32,326,M,123,30,25,6,36,NA,
1984,1984-11-21,33,105,M,80,20,18,2,30.5,NA,
1984,1984-11-22,34,237,M,85,19,14,2,32,NA,
1984,1984-11-22,35,139,M,105,17,17,2,35,NA,
1984,1984-11-22,36,402,M,80,16,11,2,34,NA,
1984,1984-11-23,37,272,M,126,30,29,8,32.5,NA,
1984,1984-11-24,38,469,M,75,16,16,2,31,NA,
1984,1984-11-25,39,25,M,95,18,16,2,32,NA,
1984,1984-11-26,40,344,M,105,19,24,8,31.5,NA,
1985,1985-11-18,1,85,M,105,18,22,6,NA,NA,archery
1985,1985-11-18,2,312,M,110,18,19,3,35,NA,
1985,1985-11-18,3,512,M,102,30,17,3,34.5,NA,
1985,1985-11-18,4,420,M,74,18,18,2,33,NA,
1985,1985-11-18,5,27,M,75,18,15,2,32,NA,
1985,1985-11-18,6,344,F,45,6,NA,NA,28,NA,
1985,1985-11-18,7,439,M,75,17,18,2,32,NA,
1985,1985-11-18,8,199,M,47,5,NA,NA,27,NA,sublegal
1985,1985-11-18,9,511,M,55,5,NA,NA,29,NA,sublegal
1985,1985-11-18,10,113,M,80,18,12,2,30.5,NA,
1985,1985-11-18,11,507,F,83,30,NA,NA,34,NA,
1985,1985-11-18,12,258,F,95,42,NA,NA,35.5,NA,
1985,1985-11-18,13,98,M,81,17,17,2,33.5,NA,
1985,1985-11-18,14,159,M,59,6,NA,NA,28,NA,sublegal
